Date,CCG,Nitrogen dioxide,Ozone,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Sulphur dioxide
2004-12-31,Hammersmith and Fulham,58.65570661839905,,26.158434639062733,,9.17110493843779
2004-12-31,Oxford,63.54589708734695,40.37627870216314,27.789443577385708,,
2004-12-31,Watford,38.83654703549304,37.22671615935356,24.200917388589705,,
2005-12-31,Hammersmith and Fulham,52.325336589338,,30.948655092243815,,8.271812482762467
2005-12-31,Oxford,49.3628634655282,39.65282541941563,25.59443373457876,,
2005-12-31,Watford,37.95879594066547,35.039582271301235,24.798499136129163,,
2006-12-31,Hammersmith and Fulham,61.19915997779724,,26.324389623428182,,6.04602677311803
2006-12-31,Oxford,55.82056537600665,45.274464384603114,28.368754538578923,,
2006-12-31,Reading,39.60795710469079,,,,
2006-12-31,Watford,37.260014783055944,39.207048556135774,23.5305517946566,,
2007-12-31,Hammersmith and Fulham,60.16068460190747,,25.631845449716387,,4.742114370779755
2007-12-31,Oxford,58.2570257172085,39.94539447623323,25.96170490748388,,
2007-12-31,Reading,53.1707983734938,,31.676369073406008,,
2007-12-31,Watford,35.79176019233154,43.26305339279385,23.221057177476,,
2008-12-31,Hammersmith and Fulham,56.57683554398193,,25.863771990371028,,
2008-12-31,Oxford,54.460015881320864,41.21623794826508,24.872507720832754,,
2008-12-31,Reading,43.44185020430232,,24.531072679147282,,
2008-12-31,Watford,33.70004099844073,,21.123615861857893,,
2009-12-31,Hammersmith and Fulham,50.33713471889952,,20.22278196785961,,
2009-12-31,Oxford,54.83390174698989,46.34964366921064,25.106132877001272,,
2009-12-31,Reading,44.314326011273344,,24.829365382352865,,
2009-12-31,Watford,39.26549132562545,,21.864278641480237,,
2010-12-31,Oxford,60.259746362348295,49.67751969504908,23.630868040363435,,
2010-12-31,Reading,46.98932919533532,,25.55291821817796,,
2010-12-31,Watford,38.79100702531181,,22.718199554223883,,
2011-12-31,Hammersmith and Fulham,83.64898474419026,,32.77238052568698,,
2011-12-31,Oxford,52.55301708890414,38.608095943348985,22.91341079295766,,
2011-12-31,Reading,45.95638545298772,,29.421368403118365,,
2011-12-31,Watford,38.54786485792271,,24.512667014430686,,
2012-12-31,Hammersmith and Fulham,92.04156192063498,,37.70916463911675,,
2012-12-31,Oxford,57.90691997301866,35.10002018106793,20.511618587089643,,
2012-12-31,Reading,46.20643722780358,,28.2837504398242,,
2012-12-31,Watford,38.5531932333797,,21.794203034165477,,
2013-12-31,Hammersmith and Fulham,77.79796316492659,,26.49792140591713,,
2013-12-31,Oxford,52.14528026173364,36.761816739234945,22.290243629477597,,
2013-12-31,Reading,47.01425269888338,,23.62431741964761,,
2013-12-31,Watford,39.23086827290806,,23.628673170466953,,
2014-12-31,Hammersmith and Fulham,80.75805644668205,,28.406974637681163,,
2014-12-31,Oxford,46.947159729770284,34.717028121300004,19.601850191929447,,
2014-12-31,Reading,41.87001978274143,,28.024767142583244,,
2014-12-31,Watford,39.91325294937453,,20.767375200209635,,
2015-12-31,Hammersmith and Fulham,77.25785099746336,,25.384717511779787,,
2015-12-31,Oxford,44.0889587691537,39.597178826248246,21.289544773837143,,
2015-12-31,Reading,38.86213980675558,,25.26028931555196,,
2015-12-31,Watford,35.147554524912515,,21.838145406792478,,
2016-12-31,Hammersmith and Fulham,74.93779640620328,,26.288016563869164,,
2016-12-31,Oxford,46.67459206495556,31.307083207014553,19.782039379558363,,
2016-12-31,Reading,36.66614384485512,,20.654428146190345,,
2016-12-31,Watford,35.567546259297494,,14.269256335847759,13.86352449223417,
2017-12-31,Hammersmith and Fulham,76.80877754472597,,26.83732760792819,,
2017-12-31,Oxford,39.27658523841465,35.21848226078597,17.10285982302336,,
2017-12-31,Reading,32.16093530989687,,21.010123048735174,,
2017-12-31,Watford,32.594032118045554,,13.761175309263377,9.046639613228372,
2018-12-31,Hammersmith and Fulham,71.46410514612711,,25.708968632251455,,
2018-12-31,Oxford,39.217792603660676,45.05988358988324,19.16078902801334,,
2018-12-31,Reading,34.20268062480706,,23.567503608723165,,
2018-12-31,Watford,31.861290743592775,,14.98304824030477,9.268622047463213,
2019-12-31,Hammersmith and Fulham,56.549049377438784,29.89964807398885,22.7276708023214,15.103699552241883,
2019-12-31,Oxford,39.69151097641681,43.629496870375164,17.388310856363844,,
2019-12-31,Reading,30.425897347899735,,22.750825744725446,,
2019-12-31,Watford,30.165464311389666,,15.055914373882247,9.476284379011851,
2020-12-31,Hammersmith and Fulham,38.66501663087102,38.11402287048222,22.318334633905586,13.631647532641095,
2020-12-31,Oxford,28.006868348879078,46.380779323131556,15.914070344894553,,
2020-12-31,Reading,22.33796048298362,,19.42197030796853,,
2020-12-31,Watford,20.813022061718126,,13.758944803816773,7.8772818345369835,
