Date,CCG,Nitrogen dioxide,Ozone,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Sulphur dioxide
2004-01-31,Hammersmith and Fulham,53.69304777001379,,23.97715439238937,,13.844516708592133
2004-01-31,Oxford,57.440031450550386,38.67578307620383,23.602150537634405,,
2004-01-31,Watford,39.65477602108036,28.162947851587404,21.57533863985477,,
2004-02-29,Hammersmith and Fulham,60.84655897556391,,27.96190405328798,,13.715187508120941
2004-02-29,Oxford,67.15234902528756,37.974137931034484,35.455067920585165,,
2004-02-29,Watford,49.10027988651178,37.66243002837205,29.661725955204215,,
2004-03-31,Hammersmith and Fulham,67.9167358097492,,34.41770979137739,,13.255274852484472
2004-03-31,Oxford,68.9162310340431,45.09116409537166,33.13575268817205,,
2004-03-31,Watford,45.52027816736792,43.93655445004771,33.665160015300266,,
2004-04-30,Hammersmith and Fulham,57.9061567837733,,21.70727825877826,,
2004-04-30,Oxford,69.26073153899242,51.5388888888889,27.215217391304346,,
2004-04-30,Watford,44.21026570048309,50.64507026789635,25.99728260869565,,
2004-05-31,Hammersmith and Fulham,38.657639508928575,,24.84886460531269,,
2004-05-31,Oxford,69.631162084399,46.887096774193566,33.32552083333333,,
2004-05-31,Watford,42.67806217858813,44.71318373071527,26.009759233286584,,
2004-06-30,Hammersmith and Fulham,26.030984375,,20.278331467667854,,
2004-06-30,Oxford,58.2602004999831,47.20050505050505,22.62209383753502,,
2004-06-30,Watford,29.673526570048306,47.13707070707071,16.88715415019763,,
2004-07-31,Hammersmith and Fulham,42.69736973033674,,24.1269958848375,,5.205596807539683
2004-07-31,Oxford,59.09372012224501,44.37173579109063,24.283719027582983,,
2004-07-31,Watford,32.68259790700183,41.682795698924735,17.913721253279828,,
2004-08-31,Hammersmith and Fulham,66.62293997604405,,27.41066186897302,,6.26951470798914
2004-08-31,Oxford,55.77599508795499,49.487538427755815,26.04498956707932,,
2004-08-31,Watford,30.210963066853672,47.688522674146796,23.123044965786896,,
2004-09-30,Hammersmith and Fulham,50.752767162065076,,26.54066578952449,,4.022235446428571
2004-09-30,Oxford,59.06040190571757,40.23080808080808,29.14949433178148,,
2004-09-30,Watford,30.098067632850245,39.4876811594203,21.870893719806766,,
2004-10-31,Hammersmith and Fulham,60.97608067959828,,23.763948496182017,,2.8163546366793555
2004-10-31,Oxford,56.15986458334451,34.35063113604489,23.3343267882188,,
2004-10-31,Watford,32.93567588325653,30.03979970965282,18.428046918326128,,
2004-11-30,Hammersmith and Fulham,65.61273847845402,,27.65376323301667,,6.85436749969542
2004-11-30,Oxford,74.68722002635043,23.296933621933626,27.667736369910276,,
2004-11-30,Watford,43.669583333333335,17.587913043478263,25.729638779095303,,
2004-12-31,Hammersmith and Fulham,67.63486006530505,,31.21393782740556,,16.5568962784104
2004-12-31,Oxford,67.11285768929528,25.410121552127162,27.637253635491255,,
2004-12-31,Watford,45.60448807854137,17.97662459093034,29.549242424242422,,
2005-01-31,Hammersmith and Fulham,55.501915992104756,,20.221900485044202,,7.3865889370902735
2005-01-31,Oxford,52.68807287460864,43.90042075736327,24.23897049777318,,
